,Home Team,Home Goals,Away Goals,Away Team,Date,xGD,GD,Upset Rating
650,Pittsburgh Penguins,2,3,Seattle Kraken,2022-11-05,-0.27,-1,0.73
651,Colorado Avalanche,1,0,New York Islanders,2022-12-19,0.28,1,0.72
652,Buffalo Sabres,3,2,New York Islanders,2023-01-19,0.28,1,0.72
653,San Jose Sharks,3,4,Vancouver Canucks,2022-11-27,-0.29,-1,0.71
654,New Jersey Devils,4,3,New York Rangers,2023-01-07,0.29,1,0.71
655,San Jose Sharks,5,6,Vancouver Canucks,2022-12-07,-0.29,-1,0.71
656,Buffalo Sabres,5,6,Tampa Bay Lightning,2022-11-28,-0.30,-1,0.70
657,Vegas Golden Knights,5,4,Nashville Predators,2022-12-31,0.31,1,0.69
658,Ottawa Senators,4,5,Vegas Golden Knights,2022-11-03,-0.33,-1,0.67
659,New York Rangers,4,3,Minnesota Wild,2023-01-10,0.34,1,0.66
660,Los Angeles Kings,3,4,Vegas Golden Knights,2022-10-11,-0.34,-1,0.66
661,Washington Capitals,3,1,Montréal Canadiens,2022-10-15,1.35,2,0.65
662,New Jersey Devils,2,1,San Jose Sharks,2022-10-22,1.65,1,0.65
663,Calgary Flames,1,2,Edmonton Oilers,2022-12-27,-0.35,-1,0.65
664,San Jose Sharks,3,4,New Jersey Devils,2023-01-16,-1.65,-1,0.65
665,Vegas Golden Knights,1,3,Boston Bruins,2022-12-11,-1.35,-2,0.65
666,Calgary Flames,2,3,Edmonton Oilers,2022-10-29,-0.35,-1,0.65
667,Vancouver Canucks,3,2,Arizona Coyotes,2022-12-03,0.36,1,0.64
668,Detroit Red Wings,2,3,Florida Panthers,2023-01-06,-0.36,-1,0.64
669,Anaheim Ducks,2,3,Calgary Flames,2022-12-23,-1.63,-1,0.63
670,Florida Panthers,4,3,Philadelphia Flyers,2022-10-19,0.37,1,0.63
671,Anaheim Ducks,2,3,Chicago Blackhawks,2022-11-12,-0.38,-1,0.62
672,Winnipeg Jets,3,2,Calgary Flames,2023-01-03,0.39,1,0.61
673,Edmonton Oilers,3,4,New Jersey Devils,2022-11-03,-0.39,-1,0.61
674,Chicago Blackhawks,4,5,Edmonton Oilers,2022-11-30,-1.60,-1,0.60
675,Vancouver Canucks,3,4,Nashville Predators,2022-11-05,-0.40,-1,0.60
676,Carolina Hurricanes,3,2,Washington Capitals,2022-10-31,0.40,1,0.60
677,Chicago Blackhawks,5,6,Edmonton Oilers,2022-10-27,-1.60,-1,0.60
678,Chicago Blackhawks,3,5,Pittsburgh Penguins,2022-11-20,-1.41,-2,0.59
679,Montréal Canadiens,2,4,Boston Bruins,2023-01-24,-2.59,-2,0.59
680,Boston Bruins,6,3,Arizona Coyotes,2022-10-15,2.42,3,0.58
681,Edmonton Oilers,4,3,Florida Panthers,2022-11-28,0.43,1,0.57
682,Calgary Flames,4,5,Seattle Kraken,2022-11-01,-0.43,-1,0.57
683,Boston Bruins,3,1,Calgary Flames,2022-11-10,1.44,2,0.56
684,Columbus Blue Jackets,3,4,Washington Capitals,2023-01-31,-1.56,-1,0.56
685,Pittsburgh Penguins,3,4,Carolina Hurricanes,2022-12-22,-0.44,-1,0.56
686,Washington Capitals,1,0,Columbus Blue Jackets,2023-01-08,1.56,1,0.56
687,Ottawa Senators,2,3,Washington Capitals,2022-12-22,-0.44,-1,0.56
688,Carolina Hurricanes,3,2,Pittsburgh Penguins,2022-12-18,0.44,1,0.56
689,Pittsburgh Penguins,2,3,Carolina Hurricanes,2022-11-29,-0.44,-1,0.56
690,Carolina Hurricanes,2,1,Pittsburgh Penguins,2023-01-14,0.44,1,0.56
691,New Jersey Devils,1,0,Colorado Avalanche,2022-10-28,0.45,1,0.55
692,Toronto Maple Leafs,3,2,Washington Capitals,2022-10-13,0.45,1,0.55
693,Washington Capitals,4,3,Los Angeles Kings,2022-10-22,0.45,1,0.55
694,Buffalo Sabres,4,3,Chicago Blackhawks,2022-10-29,1.54,1,0.54
695,Washington Capitals,1,2,Dallas Stars,2022-12-15,-0.47,-1,0.53
696,Winnipeg Jets,3,2,Montréal Canadiens,2022-11-03,1.53,1,0.53
697,Detroit Red Wings,3,2,San Jose Sharks,2023-01-24,0.47,1,0.53
698,San Jose Sharks,3,4,Philadelphia Flyers,2022-12-29,-0.47,-1,0.53
699,San Jose Sharks,1,2,Carolina Hurricanes,2022-10-14,-1.51,-1,0.51
700,Carolina Hurricanes,5,4,San Jose Sharks,2023-01-27,1.51,1,0.51
701,Edmonton Oilers,5,3,Montréal Canadiens,2022-12-03,1.50,2,0.50
702,San Jose Sharks,3,4,Tampa Bay Lightning,2022-10-29,-1.50,-1,0.50
703,Nashville Predators,2,3,Colorado Avalanche,2022-12-23,-0.50,-1,0.50
704,Boston Bruins,5,3,Florida Panthers,2022-10-17,1.52,2,0.48
705,Vancouver Canucks,7,6,Montréal Canadiens,2022-12-05,0.53,1,0.47
706,Detroit Red Wings,4,3,Arizona Coyotes,2022-11-25,0.54,1,0.46
707,Vegas Golden Knights,2,1,Philadelphia Flyers,2022-12-09,0.54,1,0.46
708,Florida Panthers,4,3,Vancouver Canucks,2023-01-14,0.54,1,0.46
709,Columbus Blue Jackets,2,3,Vegas Golden Knights,2022-11-28,-1.45,-1,0.45
710,Minnesota Wild,3,2,Philadelphia Flyers,2023-01-26,0.55,1,0.45
