,Team,Opponent,GF,GA,Date,xGD,Performance
689,Anaheim Ducks,Columbus Blue Jackets,5,3,2023-01-19,-0.28,0.73
690,Detroit Red Wings,Columbus Blue Jackets,4,2,2022-12-04,0.92,0.73
691,Philadelphia Flyers,Columbus Blue Jackets,5,3,2022-12-20,0.91,0.73
692,Boston Bruins,Columbus Blue Jackets,4,2,2022-12-17,2.80,0.73
693,New York Rangers,Columbus Blue Jackets,3,1,2023-01-16,1.80,0.73
694,Los Angeles Kings,Detroit Red Wings,4,3,2022-11-12,0.19,0.65
695,Arizona Coyotes,Detroit Red Wings,4,3,2023-01-17,-0.54,0.65
696,Philadelphia Flyers,Detroit Red Wings,2,1,2023-01-21,-0.01,0.65
697,Columbus Blue Jackets,Detroit Red Wings,4,3,2023-01-14,-0.92,0.65
698,Florida Panthers,Detroit Red Wings,3,2,2023-01-06,0.36,0.65
699,Carolina Hurricanes,Detroit Red Wings,1,0,2022-12-13,1.04,0.65
700,Washington Capitals,Detroit Red Wings,4,3,2022-12-19,0.64,0.65
701,Anaheim Ducks,Detroit Red Wings,3,2,2022-11-15,-1.19,0.65
702,Montréal Canadiens,Detroit Red Wings,3,2,2022-11-08,-0.71,0.65
703,Los Angeles Kings,Detroit Red Wings,5,4,2022-10-17,0.19,0.65
704,Buffalo Sabres,Detroit Red Wings,5,4,2022-11-30,0.73,0.65
705,Chicago Blackhawks,Detroit Red Wings,4,3,2022-10-21,-0.81,0.65
706,Dallas Stars,Detroit Red Wings,3,2,2022-12-10,1.11,0.65
707,Carolina Hurricanes,Philadelphia Flyers,6,5,2022-12-23,1.04,0.64
708,Columbus Blue Jackets,Philadelphia Flyers,5,4,2022-11-15,-0.91,0.64
709,Los Angeles Kings,Philadelphia Flyers,4,3,2023-01-24,0.20,0.64
710,Colorado Avalanche,Philadelphia Flyers,3,2,2022-12-13,0.73,0.64
711,New York Rangers,Philadelphia Flyers,1,0,2022-11-01,0.89,0.64
712,Vegas Golden Knights,Philadelphia Flyers,2,1,2022-12-09,0.54,0.64
713,Washington Capitals,Philadelphia Flyers,3,2,2022-11-23,0.65,0.64
714,Florida Panthers,Philadelphia Flyers,4,3,2022-10-19,0.37,0.64
715,Montréal Canadiens,Philadelphia Flyers,5,4,2022-11-19,-0.70,0.64
716,Arizona Coyotes,Philadelphia Flyers,5,4,2022-12-11,-0.53,0.64
717,Carolina Hurricanes,Philadelphia Flyers,4,3,2022-10-29,1.04,0.64
718,New Jersey Devils,Philadelphia Flyers,3,2,2022-12-03,1.18,0.64
719,Toronto Maple Leafs,Philadelphia Flyers,4,3,2022-12-22,1.10,0.64
720,Minnesota Wild,Philadelphia Flyers,3,2,2023-01-26,0.55,0.64
721,Carolina Hurricanes,Boston Bruins,2,3,2022-11-25,-0.84,0.53
722,Pittsburgh Penguins,Boston Bruins,1,2,2023-01-02,-1.29,0.53
723,New Jersey Devils,Boston Bruins,3,4,2022-12-23,-0.70,0.53
724,Toronto Maple Leafs,Boston Bruins,3,4,2023-01-14,-0.79,0.53
725,Winnipeg Jets,Boston Bruins,2,3,2022-12-22,-1.06,0.53
726,Pittsburgh Penguins,Boston Bruins,5,6,2022-11-01,-1.29,0.53
727,New York Islanders,Boston Bruins,3,4,2022-12-13,-1.43,0.53
728,Minnesota Wild,Boston Bruins,3,4,2022-10-22,-1.34,0.53
729,Anaheim Ducks,Boston Bruins,1,2,2022-10-20,-3.07,0.53
730,Vegas Golden Knights,Vancouver Canucks,5,4,2022-11-21,0.71,0.47
731,Pittsburgh Penguins,Vancouver Canucks,5,4,2023-01-10,0.77,0.47
732,Toronto Maple Leafs,Vancouver Canucks,3,2,2022-11-12,1.27,0.47
733,Minnesota Wild,Vancouver Canucks,4,3,2022-10-20,0.72,0.47
734,Nashville Predators,Vancouver Canucks,4,3,2022-11-05,0.40,0.47
735,Carolina Hurricanes,Vancouver Canucks,3,2,2022-10-24,1.22,0.47
736,Philadelphia Flyers,Vancouver Canucks,3,2,2022-10-15,0.17,0.47
737,Florida Panthers,Vancouver Canucks,4,3,2023-01-14,0.54,0.47
738,Columbus Blue Jackets,Vancouver Canucks,4,3,2022-10-18,-0.74,0.47
739,Tampa Bay Lightning,Vancouver Canucks,5,4,2023-01-12,1.21,0.47
740,Calgary Flames,Vancouver Canucks,3,2,2022-12-31,0.62,0.47
741,St. Louis Blues,Anaheim Ducks,3,1,2022-11-21,1.00,0.46
742,Vegas Golden Knights,St. Louis Blues,5,4,2022-12-23,0.72,0.46
743,Florida Panthers,Anaheim Ducks,5,3,2022-11-06,1.55,0.46
744,Montréal Canadiens,St. Louis Blues,5,4,2023-01-07,-0.52,0.46
745,Toronto Maple Leafs,St. Louis Blues,5,4,2022-12-27,1.29,0.46
746,Colorado Avalanche,St. Louis Blues,3,2,2022-12-11,0.92,0.46
747,New Jersey Devils,Anaheim Ducks,4,2,2022-10-18,2.37,0.46
748,New York Rangers,Anaheim Ducks,6,4,2022-10-17,2.08,0.46
749,Tampa Bay Lightning,Anaheim Ducks,4,2,2022-10-26,2.22,0.46
750,Nashville Predators,San Jose Sharks,3,2,2022-10-08,0.70,0.18
751,New Jersey Devils,San Jose Sharks,2,1,2022-10-22,1.65,0.18
752,Anaheim Ducks,San Jose Sharks,5,4,2023-01-06,-0.72,0.18
753,Anaheim Ducks,San Jose Sharks,6,5,2022-11-01,-0.72,0.18
754,New Jersey Devils,San Jose Sharks,4,3,2023-01-16,1.65,0.18
755,New York Rangers,San Jose Sharks,2,1,2022-11-19,1.36,0.18
756,Los Angeles Kings,San Jose Sharks,4,3,2023-01-11,0.66,0.18
757,Los Angeles Kings,San Jose Sharks,3,2,2022-12-17,0.66,0.18
758,Detroit Red Wings,San Jose Sharks,3,2,2023-01-24,0.47,0.18
759,Tampa Bay Lightning,San Jose Sharks,4,3,2022-10-29,1.50,0.18
760,Anaheim Ducks,San Jose Sharks,5,4,2022-11-05,-0.72,0.18
761,Vancouver Canucks,San Jose Sharks,4,3,2022-11-27,0.29,0.18
762,Vancouver Canucks,San Jose Sharks,6,5,2022-12-07,0.29,0.18
763,Carolina Hurricanes,San Jose Sharks,2,1,2022-10-14,1.51,0.18
764,Florida Panthers,San Jose Sharks,4,3,2022-11-03,0.83,0.18
765,Philadelphia Flyers,San Jose Sharks,4,3,2022-12-29,0.47,0.18
766,Carolina Hurricanes,San Jose Sharks,5,4,2023-01-27,1.51,0.18
767,Nashville Predators,Arizona Coyotes,4,3,2022-11-21,0.76,0.11
768,San Jose Sharks,Arizona Coyotes,3,2,2022-12-13,0.06,0.11
769,Minnesota Wild,Arizona Coyotes,2,1,2023-01-14,1.08,0.11
770,Anaheim Ducks,Arizona Coyotes,2,1,2023-01-28,-0.66,0.11
771,Vancouver Canucks,Arizona Coyotes,3,2,2022-12-03,0.36,0.11
772,Minnesota Wild,Arizona Coyotes,4,3,2022-11-27,1.08,0.11
773,Winnipeg Jets,Arizona Coyotes,3,2,2022-10-28,1.36,0.11
774,New York Rangers,Arizona Coyotes,3,2,2022-10-30,1.42,0.11
775,Detroit Red Wings,Arizona Coyotes,4,3,2022-11-25,0.54,0.11
776,Winnipeg Jets,Arizona Coyotes,2,1,2023-01-15,1.36,0.11
777,Calgary Flames,Arizona Coyotes,3,2,2022-12-05,0.97,0.11
778,Montréal Canadiens,Arizona Coyotes,3,2,2022-12-19,-0.17,0.11
779,Vancouver Canucks,Montréal Canadiens,7,6,2022-12-05,0.53,-0.06
780,New York Islanders,Montréal Canadiens,2,1,2023-01-14,1.15,-0.06
781,Detroit Red Wings,Montréal Canadiens,4,3,2023-01-26,0.71,-0.06
782,Winnipeg Jets,Montréal Canadiens,3,2,2022-11-03,1.53,-0.06
783,Ottawa Senators,Montréal Canadiens,5,4,2023-01-31,0.91,-0.06
784,Ottawa Senators,Montréal Canadiens,3,2,2022-12-14,0.91,-0.06
785,Colorado Avalanche,Montréal Canadiens,2,1,2022-12-21,1.43,-0.06
786,Los Angeles Kings,Chicago Blackhawks,2,1,2022-11-10,1.01,-0.17
787,Vegas Golden Knights,New Jersey Devils,2,3,2023-01-24,-0.65,-0.17
788,Toronto Maple Leafs,New Jersey Devils,2,3,2022-11-17,-0.08,-0.17
789,Calgary Flames,New Jersey Devils,3,4,2022-11-05,-0.74,-0.17
790,Ottawa Senators,New Jersey Devils,3,4,2022-11-10,-0.97,-0.17
791,Edmonton Oilers,New Jersey Devils,3,4,2022-11-03,-0.39,-0.17
792,San Jose Sharks,New Jersey Devils,1,2,2022-10-22,-1.65,-0.17
793,Vegas Golden Knights,Chicago Blackhawks,1,0,2022-10-13,1.35,-0.17
794,Philadelphia Flyers,New Jersey Devils,2,3,2022-12-03,-1.18,-0.17
795,Dallas Stars,New Jersey Devils,2,3,2023-01-27,-0.07,-0.17
796,Edmonton Oilers,Chicago Blackhawks,5,4,2022-11-30,1.60,-0.17
797,Los Angeles Kings,Chicago Blackhawks,2,1,2023-01-22,1.01,-0.17
798,Montréal Canadiens,Chicago Blackhawks,3,2,2022-11-25,0.11,-0.17
799,Calgary Flames,New Jersey Devils,2,3,2022-11-08,-0.74,-0.17
800,New York Rangers,New Jersey Devils,3,4,2023-01-07,-0.29,-0.17
801,Buffalo Sabres,Chicago Blackhawks,4,3,2022-10-29,1.54,-0.17
802,Minnesota Wild,Chicago Blackhawks,4,3,2022-10-30,1.36,-0.17
803,Pittsburgh Penguins,New Jersey Devils,1,2,2023-01-22,-0.58,-0.17
804,Colorado Avalanche,New Jersey Devils,0,1,2022-10-28,-0.45,-0.17
805,San Jose Sharks,New Jersey Devils,3,4,2023-01-16,-1.65,-0.17
806,Edmonton Oilers,Chicago Blackhawks,6,5,2022-10-27,1.60,-0.17
807,Ottawa Senators,Dallas Stars,3,4,2022-12-08,-0.90,-0.24
808,Washington Capitals,Dallas Stars,1,2,2022-12-15,-0.47,-0.24
809,Detroit Red Wings,Dallas Stars,2,3,2022-12-10,-1.11,-0.24
810,New York Islanders,Dallas Stars,1,2,2023-01-10,-0.66,-0.24
811,Columbus Blue Jackets,Dallas Stars,1,2,2022-12-19,-2.02,-0.24
812,Nashville Predators,Dallas Stars,2,3,2022-12-27,-0.88,-0.24
813,Vancouver Canucks,Toronto Maple Leafs,2,3,2022-11-12,-1.27,-0.26
814,Philadelphia Flyers,Toronto Maple Leafs,3,4,2022-12-22,-1.10,-0.26
815,New Jersey Devils,Toronto Maple Leafs,1,2,2022-11-23,0.08,-0.26
816,Boston Bruins,Toronto Maple Leafs,1,2,2022-11-05,0.79,-0.26
817,New York Rangers,Toronto Maple Leafs,2,3,2023-01-25,-0.21,-0.26
818,Nashville Predators,Toronto Maple Leafs,1,2,2023-01-11,-0.87,-0.26
819,St. Louis Blues,Toronto Maple Leafs,4,5,2022-12-27,-1.29,-0.26
820,Ottawa Senators,Toronto Maple Leafs,2,3,2022-10-15,-0.89,-0.26
821,Dallas Stars,Toronto Maple Leafs,2,3,2022-10-20,0.01,-0.26
822,Florida Panthers,Toronto Maple Leafs,4,5,2023-01-17,-0.73,-0.26
823,Calgary Flames,Toronto Maple Leafs,4,5,2022-12-10,-0.66,-0.26
824,Minnesota Wild,Toronto Maple Leafs,3,4,2022-11-25,-0.55,-0.26
825,Washington Capitals,Toronto Maple Leafs,2,3,2022-10-13,-0.45,-0.26
826,Washington Capitals,Columbus Blue Jackets,1,0,2023-01-08,1.56,-0.27
827,Calgary Flames,Columbus Blue Jackets,4,3,2023-01-23,1.35,-0.27
828,New York Islanders,Columbus Blue Jackets,2,1,2022-12-29,1.36,-0.27
829,Dallas Stars,Columbus Blue Jackets,2,1,2022-12-19,2.02,-0.27
830,Nashville Predators,Columbus Blue Jackets,2,1,2023-01-17,1.14,-0.27
831,Washington Capitals,Columbus Blue Jackets,4,3,2023-01-31,1.56,-0.27
832,New York Islanders,Columbus Blue Jackets,3,2,2022-11-25,1.36,-0.27
833,New York Islanders,Columbus Blue Jackets,4,3,2022-11-12,1.36,-0.27
834,Vegas Golden Knights,Columbus Blue Jackets,3,2,2022-11-28,1.45,-0.27
835,Vancouver Canucks,Carolina Hurricanes,2,3,2022-10-24,-1.22,-0.31
836,San Jose Sharks,Carolina Hurricanes,1,2,2022-10-14,-1.51,-0.31
837,Detroit Red Wings,Carolina Hurricanes,0,1,2022-12-13,-1.04,-0.31
838,San Jose Sharks,Carolina Hurricanes,4,5,2023-01-27,-1.51,-0.31
839,Seattle Kraken,Carolina Hurricanes,2,3,2022-12-15,-0.17,-0.31
840,Pittsburgh Penguins,Carolina Hurricanes,2,3,2022-11-29,-0.44,-0.31
841,Tampa Bay Lightning,Carolina Hurricanes,3,4,2022-11-03,-0.01,-0.31
842,Dallas Stars,Carolina Hurricanes,4,5,2022-12-17,0.07,-0.31
843,Pittsburgh Penguins,Carolina Hurricanes,2,3,2022-12-18,-0.44,-0.31
844,Calgary Flames,Carolina Hurricanes,2,3,2022-11-26,-0.60,-0.31
845,Dallas Stars,Carolina Hurricanes,2,3,2023-01-25,0.07,-0.31
846,New Jersey Devils,Carolina Hurricanes,4,5,2023-01-01,0.14,-0.31
847,Pittsburgh Penguins,Carolina Hurricanes,3,4,2022-12-22,-0.44,-0.31
848,Philadelphia Flyers,Carolina Hurricanes,5,6,2022-12-23,-1.04,-0.31
849,Philadelphia Flyers,Carolina Hurricanes,3,4,2022-10-29,-1.04,-0.31
850,Pittsburgh Penguins,Carolina Hurricanes,1,2,2023-01-14,-0.44,-0.31
851,Los Angeles Kings,Carolina Hurricanes,4,5,2023-01-31,-0.85,-0.31
852,Washington Capitals,Carolina Hurricanes,2,3,2022-10-31,-0.40,-0.31
853,Boston Bruins,Tampa Bay Lightning,2,3,2023-01-26,0.85,-0.32
854,New York Rangers,Tampa Bay Lightning,1,2,2022-12-29,-0.14,-0.32
855,San Jose Sharks,Tampa Bay Lightning,3,4,2022-10-29,-1.50,-0.32
856,Buffalo Sabres,Tampa Bay Lightning,5,6,2022-11-28,-0.30,-0.32
857,Nashville Predators,Tampa Bay Lightning,2,3,2022-11-19,-0.81,-0.32
858,Ottawa Senators,Tampa Bay Lightning,3,4,2022-11-01,-0.82,-0.32
859,Vancouver Canucks,Tampa Bay Lightning,4,5,2023-01-12,-1.21,-0.32
860,Toronto Maple Leafs,Tampa Bay Lightning,3,4,2022-12-03,0.06,-0.32
861,Florida Panthers,Tampa Bay Lightning,2,3,2022-10-21,-0.67,-0.32
862,Dallas Stars,Tampa Bay Lightning,4,5,2022-11-15,0.08,-0.32
863,Colorado Avalanche,New York Rangers,1,2,2022-12-09,-0.16,-0.46
864,Dallas Stars,New York Rangers,1,2,2023-01-12,0.22,-0.46
865,New Jersey Devils,New York Rangers,3,4,2022-12-12,0.29,-0.46
866,Philadelphia Flyers,New York Rangers,0,1,2022-11-01,-0.89,-0.46
867,Arizona Coyotes,New York Rangers,2,3,2022-10-30,-1.42,-0.46
868,San Jose Sharks,New York Rangers,1,2,2022-11-19,-1.36,-0.46
869,Minnesota Wild,New York Rangers,3,4,2023-01-10,-0.34,-0.46
870,San Jose Sharks,Boston Bruins,2,4,2023-01-07,-2.35,-0.47
871,Vegas Golden Knights,Boston Bruins,1,3,2022-12-11,-1.35,-0.47
872,Florida Panthers,Boston Bruins,3,5,2022-10-17,-1.52,-0.47
873,Tampa Bay Lightning,Boston Bruins,3,5,2022-11-21,-0.85,-0.47
874,Dallas Stars,Boston Bruins,1,3,2022-10-25,-0.77,-0.47
875,Calgary Flames,Boston Bruins,1,3,2022-11-10,-1.44,-0.47
876,Columbus Blue Jackets,Boston Bruins,2,4,2022-12-17,-2.80,-0.47
877,Buffalo Sabres,Boston Bruins,1,3,2022-11-12,-1.15,-0.47
878,St. Louis Blues,Boston Bruins,1,3,2022-11-07,-2.07,-0.47
879,Montréal Canadiens,Boston Bruins,2,4,2023-01-24,-2.59,-0.47
880,Tampa Bay Lightning,Boston Bruins,1,3,2022-11-29,-0.85,-0.47
881,New Jersey Devils,Boston Bruins,1,3,2022-12-28,-0.70,-0.47
882,New York Rangers,Boston Bruins,1,3,2023-01-19,-0.99,-0.47
883,Anaheim Ducks,Seattle Kraken,4,5,2022-11-27,-2.06,-0.49
884,Pittsburgh Penguins,Seattle Kraken,2,3,2022-11-05,-0.27,-0.49
885,Winnipeg Jets,Seattle Kraken,2,3,2022-12-18,-0.04,-0.49
886,New York Rangers,Seattle Kraken,2,3,2022-11-17,0.02,-0.49
887,Buffalo Sabres,Seattle Kraken,3,4,2023-01-10,-0.14,-0.49
888,Washington Capitals,Seattle Kraken,2,3,2022-12-01,-0.23,-0.49
889,Colorado Avalanche,Seattle Kraken,2,3,2022-10-21,-0.14,-0.49
890,New Jersey Devils,Seattle Kraken,3,4,2023-01-19,0.31,-0.49
891,Calgary Flames,Seattle Kraken,4,5,2022-11-01,-0.43,-0.49
892,Los Angeles Kings,Seattle Kraken,2,3,2022-11-19,-0.67,-0.49
893,Los Angeles Kings,Seattle Kraken,8,9,2022-11-29,-0.67,-0.49
894,Carolina Hurricanes,Winnipeg Jets,3,4,2022-11-21,0.21,-0.53
895,Nashville Predators,Winnipeg Jets,1,2,2022-12-15,-0.60,-0.53
896,Seattle Kraken,Winnipeg Jets,2,3,2022-11-13,0.04,-0.53
897,Montréal Canadiens,Winnipeg Jets,2,3,2022-11-03,-1.53,-0.53
898,Colorado Avalanche,Winnipeg Jets,3,4,2022-10-19,-0.10,-0.53
899,Anaheim Ducks,Winnipeg Jets,2,3,2022-11-17,-2.02,-0.53
900,Calgary Flames,Winnipeg Jets,2,3,2023-01-03,-0.39,-0.53
901,Edmonton Oilers,Winnipeg Jets,1,2,2022-12-31,-0.04,-0.53
902,Arizona Coyotes,Winnipeg Jets,2,3,2022-10-28,-1.36,-0.53
903,Dallas Stars,Winnipeg Jets,4,5,2022-11-25,0.28,-0.53
904,Arizona Coyotes,Winnipeg Jets,1,2,2023-01-15,-1.36,-0.53
905,Boston Bruins,Anaheim Ducks,2,1,2022-10-20,3.07,-0.54
906,Pittsburgh Penguins,Anaheim Ducks,4,3,2023-01-16,1.79,-0.54
907,Nashville Predators,Anaheim Ducks,2,1,2022-11-29,1.42,-0.54
908,Chicago Blackhawks,Anaheim Ducks,3,2,2022-11-12,0.38,-0.54
909,Winnipeg Jets,Anaheim Ducks,3,2,2022-11-17,2.02,-0.54
910,Seattle Kraken,Anaheim Ducks,5,4,2022-11-27,2.06,-0.54
911,Minnesota Wild,Anaheim Ducks,5,4,2022-12-03,1.74,-0.54
912,Calgary Flames,Anaheim Ducks,3,2,2022-12-23,1.63,-0.54
913,Calgary Flames,Edmonton Oilers,1,2,2022-12-27,-0.35,-0.56
914,Calgary Flames,Edmonton Oilers,2,3,2022-10-29,-0.35,-0.56
915,Chicago Blackhawks,Edmonton Oilers,5,6,2022-10-27,-1.60,-0.56
916,Vegas Golden Knights,Edmonton Oilers,3,4,2023-01-14,-0.26,-0.56
917,Chicago Blackhawks,Edmonton Oilers,4,5,2022-11-30,-1.60,-0.56
918,New York Rangers,Edmonton Oilers,3,4,2022-11-26,0.10,-0.56
919,Vegas Golden Knights,Edmonton Oilers,3,4,2022-11-19,-0.26,-0.56
920,Tampa Bay Lightning,Edmonton Oilers,2,3,2022-11-08,0.24,-0.56
921,Florida Panthers,Edmonton Oilers,3,4,2022-11-28,-0.43,-0.56
922,Edmonton Oilers,Colorado Avalanche,2,3,2023-01-07,0.06,-0.63
923,Dallas Stars,Buffalo Sabres,2,3,2023-01-23,0.38,-0.63
924,Montréal Canadiens,Colorado Avalanche,1,2,2022-12-21,-1.43,-0.63
925,Nashville Predators,Colorado Avalanche,2,3,2022-12-23,-0.50,-0.63
926,Chicago Blackhawks,Buffalo Sabres,3,4,2022-10-29,-1.54,-0.63
927,New York Rangers,Colorado Avalanche,2,3,2022-10-25,0.16,-0.63
928,Seattle Kraken,Colorado Avalanche,1,2,2023-01-21,0.14,-0.63
929,Detroit Red Wings,Buffalo Sabres,4,5,2022-11-30,-0.73,-0.63
930,Vegas Golden Knights,Buffalo Sabres,2,3,2022-12-19,-0.20,-0.63
931,New York Islanders,Colorado Avalanche,0,1,2022-12-19,-0.28,-0.63
932,Minnesota Wild,Buffalo Sabres,5,6,2023-01-07,-0.18,-0.63
933,New York Islanders,Buffalo Sabres,2,3,2023-01-19,-0.28,-0.63
934,Dallas Stars,Colorado Avalanche,2,3,2022-11-21,0.38,-0.63
935,Carolina Hurricanes,Colorado Avalanche,2,3,2022-11-17,0.31,-0.63
936,Boston Bruins,Buffalo Sabres,3,4,2022-12-31,1.15,-0.63
937,Vegas Golden Knights,Colorado Avalanche,2,3,2022-10-22,-0.19,-0.63
938,Washington Capitals,Colorado Avalanche,2,3,2023-01-24,-0.08,-0.63
939,Washington Capitals,Buffalo Sabres,4,5,2023-01-03,-0.09,-0.63
940,St. Louis Blues,Colorado Avalanche,2,3,2022-12-11,-0.92,-0.63
941,Winnipeg Jets,Buffalo Sabres,2,3,2023-01-26,0.10,-0.63
942,Philadelphia Flyers,Colorado Avalanche,2,3,2022-12-13,-0.73,-0.63
943,Detroit Red Wings,Washington Capitals,3,4,2022-12-19,-0.64,-0.71
944,Pittsburgh Penguins,Washington Capitals,2,3,2023-01-26,-0.05,-0.71
945,Los Angeles Kings,Washington Capitals,3,4,2022-10-22,-0.45,-0.71
946,Edmonton Oilers,Washington Capitals,4,5,2022-11-07,0.15,-0.71
947,Ottawa Senators,Washington Capitals,2,3,2022-12-22,-0.44,-0.71
948,Columbus Blue Jackets,Washington Capitals,0,1,2023-01-08,-1.56,-0.71
949,Philadelphia Flyers,Washington Capitals,2,3,2022-11-23,-0.65,-0.71
950,Columbus Blue Jackets,Washington Capitals,3,4,2023-01-31,-1.56,-0.71
951,Edmonton Oilers,Washington Capitals,2,3,2022-12-05,0.15,-0.71
952,New York Islanders,Washington Capitals,3,4,2023-01-16,-0.19,-0.71
953,New York Rangers,Pittsburgh Penguins,2,3,2022-12-20,0.29,-0.76
954,Buffalo Sabres,Pittsburgh Penguins,3,4,2022-12-09,0.13,-0.76
955,Dallas Stars,Pittsburgh Penguins,1,2,2022-12-12,0.51,-0.76
956,Anaheim Ducks,Pittsburgh Penguins,3,4,2023-01-16,-1.79,-0.76
957,Vegas Golden Knights,Pittsburgh Penguins,3,4,2022-12-01,-0.06,-0.76
958,Calgary Flames,Pittsburgh Penguins,1,2,2022-11-23,-0.16,-0.76
959,Florida Panthers,Pittsburgh Penguins,6,7,2023-01-24,-0.23,-0.76
960,Vancouver Canucks,Pittsburgh Penguins,4,5,2023-01-10,-0.77,-0.76
961,Edmonton Oilers,Minnesota Wild,1,2,2022-12-12,0.24,-0.81
962,Anaheim Ducks,Minnesota Wild,4,5,2022-12-03,-1.74,-0.81
963,Arizona Coyotes,Minnesota Wild,3,4,2022-11-27,-1.08,-0.81
964,Vancouver Canucks,Minnesota Wild,3,4,2022-10-20,-0.72,-0.81
965,Buffalo Sabres,Minnesota Wild,2,3,2023-01-28,0.18,-0.81
966,Dallas Stars,Minnesota Wild,5,6,2022-12-04,0.56,-0.81
967,Carolina Hurricanes,Minnesota Wild,1,2,2022-11-19,0.49,-0.81
968,Philadelphia Flyers,Minnesota Wild,2,3,2023-01-26,-0.55,-0.81
969,Seattle Kraken,Minnesota Wild,0,1,2022-11-11,0.32,-0.81
970,Arizona Coyotes,Minnesota Wild,1,2,2023-01-14,-1.08,-0.81
971,Chicago Blackhawks,Minnesota Wild,3,4,2022-10-30,-1.36,-0.81
972,Vancouver Canucks,Vegas Golden Knights,4,5,2022-11-21,-0.71,-0.82
973,Washington Capitals,Vegas Golden Knights,2,3,2022-11-01,0.11,-0.82
974,Philadelphia Flyers,Vegas Golden Knights,1,2,2022-12-09,-0.54,-0.82
975,Nashville Predators,Vegas Golden Knights,4,5,2022-12-31,-0.31,-0.82
976,Winnipeg Jets,Vegas Golden Knights,1,2,2022-10-30,0.29,-0.82
977,Boston Bruins,Vegas Golden Knights,3,4,2022-12-05,1.35,-0.82
978,St. Louis Blues,Vegas Golden Knights,4,5,2022-12-23,-0.72,-0.82
979,Chicago Blackhawks,Vegas Golden Knights,0,1,2022-10-13,-1.35,-0.82
980,Los Angeles Kings,Vegas Golden Knights,3,4,2022-10-11,-0.34,-0.82
981,Toronto Maple Leafs,Vegas Golden Knights,3,4,2022-11-08,0.56,-0.82
982,Ottawa Senators,Vegas Golden Knights,4,5,2022-11-03,-0.33,-0.82
983,Columbus Blue Jackets,Vegas Golden Knights,2,3,2022-11-28,-1.45,-0.82
984,Colorado Avalanche,Vegas Golden Knights,2,3,2023-01-02,0.19,-0.82
985,Winnipeg Jets,Vegas Golden Knights,5,6,2022-12-13,0.29,-0.82
986,Vancouver Canucks,Calgary Flames,2,3,2022-12-31,-0.62,-0.91
987,New York Rangers,New York Islanders,3,4,2022-11-08,0.44,-0.91
988,Columbus Blue Jackets,New York Islanders,2,3,2022-11-25,-1.36,-0.91
989,Edmonton Oilers,Calgary Flames,3,4,2022-10-15,0.35,-0.91
990,Columbus Blue Jackets,Calgary Flames,3,4,2023-01-23,-1.35,-0.91
991,Toronto Maple Leafs,New York Islanders,2,3,2022-11-21,0.65,-0.91
992,Vegas Golden Knights,Calgary Flames,2,3,2022-10-18,0.09,-0.91
993,Florida Panthers,Calgary Flames,4,5,2022-11-19,-0.08,-0.91
994,Columbus Blue Jackets,New York Islanders,3,4,2022-11-12,-1.36,-0.91
995,Montréal Canadiens,New York Islanders,1,2,2023-01-14,-1.15,-0.91
996,Columbus Blue Jackets,New York Islanders,1,2,2022-12-29,-1.36,-0.91
997,Calgary Flames,New York Islanders,3,4,2022-11-07,-0.01,-0.91
998,Winnipeg Jets,Calgary Flames,2,3,2022-11-12,0.39,-0.91
999,Vegas Golden Knights,New York Islanders,1,2,2023-01-28,0.09,-0.91
1000,Seattle Kraken,Calgary Flames,2,3,2022-12-28,0.43,-0.91
1001,Anaheim Ducks,Calgary Flames,2,3,2022-12-23,-1.63,-0.91
1002,Dallas Stars,Calgary Flames,5,6,2023-01-14,0.67,-0.91
1003,Colorado Avalanche,New York Islanders,4,5,2022-10-29,0.28,-0.91
1004,Arizona Coyotes,Calgary Flames,2,3,2022-12-05,-0.97,-0.91
1005,Los Angeles Kings,Calgary Flames,5,6,2022-11-14,-0.25,-0.91
1006,Carolina Hurricanes,Calgary Flames,2,3,2022-10-22,0.60,-0.91
1007,San Jose Sharks,Florida Panthers,3,4,2022-11-03,-0.83,-0.99
1008,Colorado Avalanche,Florida Panthers,4,5,2023-01-10,0.36,-0.99
1009,Vancouver Canucks,Florida Panthers,3,4,2023-01-14,-0.54,-0.99
1010,Boston Bruins,Florida Panthers,3,4,2023-01-28,1.52,-0.99
1011,New York Islanders,Florida Panthers,2,3,2022-10-23,0.09,-0.99
1012,Buffalo Sabres,Florida Panthers,3,4,2022-10-15,0.37,-0.99
1013,Philadelphia Flyers,Florida Panthers,3,4,2022-10-19,-0.37,-0.99
1014,Detroit Red Wings,Florida Panthers,2,3,2023-01-06,-0.36,-0.99
1015,New York Islanders,Nashville Predators,4,5,2022-11-17,0.22,-1.13
1016,Anaheim Ducks,Nashville Predators,1,2,2022-11-29,-1.42,-1.13
1017,Vancouver Canucks,Nashville Predators,3,4,2022-11-05,-0.40,-1.13
1018,Columbus Blue Jackets,Nashville Predators,1,2,2023-01-17,-1.14,-1.13
1019,New York Rangers,Nashville Predators,1,2,2022-11-12,0.66,-1.13
1020,Winnipeg Jets,Nashville Predators,1,2,2023-01-24,0.60,-1.13
1021,Minnesota Wild,Nashville Predators,1,2,2022-11-15,0.32,-1.13
1022,New Jersey Devils,Nashville Predators,3,4,2022-12-01,0.95,-1.13
1023,Washington Capitals,Nashville Predators,2,3,2023-01-06,0.42,-1.13
